STRM,SUBJECT,CATALOG_NBR,PU_EVAL_CATEGORY,CRSE_ID,PU_EVAL_MEAN
1142,CHM,201,Lectures,975,2.72
1142,CHM,201,Papers; Reports; Problem Sets; Examinations,975,3.05
1142,CHM,201,Readings,975,3.13
1142,CHM,201,Classes,975,3.2
1142,CHM,201,Laboratories,975,4.12
1142,CHM,201,Overall Quality of the Course,975,2.75
1142,CHM,201,Feedback for other students:,975,3.2
1142,CHM,207,Lectures,981,3.78
1142,CHM,207,Papers; Reports; Problem Sets; Examinations,981,3.54
1142,CHM,207,Readings,981,3.18
1142,CHM,207,Classes,981,3.95
1142,CHM,207,Laboratories,981,3.88
1142,CHM,207,Overall Quality of the Course,981,3.77
1142,CHM,207,Feedback for other students:,981,4.08
1142,CHM,303,Lectures,986,3.44
1142,CHM,303,Papers; Reports; Problem Sets; Examinations,986,3.54
1142,CHM,303,Readings,986,3.15
1142,CHM,303,Classes,986,4.15
1142,CHM,303,Laboratories,986,4.1
1142,CHM,303,Overall Quality of the Course,986,3.57
1142,CHM,303,Feedback for other students:,986,3.59
1142,CHM,305,Lectures,991,3.92
1142,CHM,305,Papers; Reports; Problem Sets; Examinations,991,3.58
1142,CHM,305,Readings,991,3.15
1142,CHM,305,Precepts,991,3.5
1142,CHM,305,Overall Quality of the Course,991,3.7
1142,CHM,305,Feedback for other students:,991,3.79
1142,CHM,407,Lectures,994,4.08
1142,CHM,407,Papers; Reports; Problem Sets; Examinations,994,4
1142,CHM,407,Readings,994,3.56
1142,CHM,407,Precepts,994,4.58
1142,CHM,407,Overall Quality of the Course,994,3.92
1142,CHM,407,Feedback for other students:,994,4.33
1142,CHM,371,Lectures,998,3.35
1142,CHM,371,Papers; Reports; Problem Sets; Examinations,998,2.42
1142,CHM,371,Readings,998,3.4
1142,CHM,371,Laboratories,998,3.63
1142,CHM,371,Overall Quality of the Course,998,2.88
1142,CHM,371,Feedback for other students:,998,3.08
1142,CHM,403,Lectures,1001,3.52
1142,CHM,403,Papers; Reports; Problem Sets; Examinations,1001,3.36
1142,CHM,403,Readings,1001,3.5
1142,CHM,403,Precepts,1001,3.71
1142,CHM,403,Overall Quality of the Course,1001,3.21
1142,CHM,403,Feedback for other students:,1001,3.64
1142,CHM,405,Lectures,1003,2
1142,CHM,405,Papers; Reports; Problem Sets; Examinations,1003,2.5
1142,CHM,405,Readings,1003,4
1142,CHM,405,Precepts,1003,4.75
1142,CHM,405,Overall Quality of the Course,1003,3.2
1142,CHM,405,Feedback for other students:,1003,3.5
1142,CHM,501,Lectures,1007,3.58
