termid,courseid,title,prof_string,all_listings_string,area,prereqs,descrip
"1152","010276","Engineering Projects in Community Service (EPICS): Non-credit","Jay B. Benziger|Michael G. Littman","EGR 350","","Juniors only (except for sophomores who have completed EGR 251)..","In the Engineering Projects in Community Service (EPICS) program  students earn academic credit for their participation in multidisciplinary design teams that solve technology-based problems for local not-for-profit organizations. The teams are: multidisciplinary--drawing students from across engineering and around the university; vertically-integrated--maintaining a mix of sophomores through seniors each semester; and long-term--each student may participate in a project for up to six semesters. The continuity  technical depth  and disciplinary breadth of these teams enable delivery of projects of significant benefit to the community."
"1152","006656","Beginner's Spanish I","Regina Baranski|Nadia Cervantes Pérez|Marcia K. Olander|Sylvia Zetterstrand","SPA 101","","Students with previous knowledge in Spanish MUST take the Department's Spanish language placement test available online from July 15 - August 15 before taking this course. This also applies to Graduate students interested in taking the course. International Baccalaureate students must also take the placement test. Students with an AP5/SP SAT ST 760 score are not required to take this test..","SPA 101 presents the basic structures and vocabulary of the Spanish language. The four skills (listening  speaking  reading and writing) are practiced and developed by means of classroom activities and materials in which language appears in a cultural context. Classes are conducted in Spanish. No credit is given for SPA 101 unless followed by SPA 102."
"1152","012837","The Sociology of Intellectuals and Ideas","Neil Gross","SOC 323","SA","","Intellectuals--a group defined in various ways  but consisting at its core of those individuals occupationally specialized in the production of knowledge and ideas--play key parts in modern society. This seminar examines sociological research on intellectuals  with a particular focus on academic intellectuals in the human sciences."
"1152","005391","Political Philosophy - Political Ontology","Philip N. Pettit","POL 518 PHI 529","","","This seminar will cover some basic concepts deployed in political thought and practice  looking at the various ways in which they may be institutionally implemented. The concepts discussed will include those of the state  the constitution and the people as well as some more regular social concepts like that of agency  corporation  freedom and power."
"1152","011245","Diversity in Black America","Imani Perry","AAS 323 AMS 321","SA","","As the demographics of Blacks in America change  we are compelled to rethink the dominant stories of who African Americans are  and from whence they come. In this seminar  we will explore the deep cultural  genealogical  national origin  regional  and class-based diversity of people of African descent in the United States. Materials for the course will include scholarly writings as well as memoirs and fiction. In addition to reading assignments  students will be expected to complete an ethnographic or oral history project based upon research conducted within a Black community in the U.S.  and a music or visual art based presentation of work."
"1152","012721","Topics in Geometric Analysis and General Relativity - Advanced Topics in General Relativity","Mihalis Dafermos","MAT 526","","Undergrads must obtain permission of instructor..","This course will cover a selection of advanced topics in General Relativity  which could include the construction of dynamical black hole spacetimes  the formation of weak null singularities for the vacuum  and the stability of the Schwarzschild black hole."
"1152","001444","Econometric Modeling","Christopher A. Sims|Mark W. Watson","ECO 515","","","The construction  estimation  and testing of econometric models as a process  from theory to model formulation to estimation and testing and back to theory. Bridging the gap between theory and applied work. A series of topics in macroeconomics time series and microeconomic cross-sectional analysis: consumption at the household and aggregate level  commodity prices  nonparametric and parametrics estimation."
"1152","002126","Advanced Topics in Computer Science - Bitcoin and cryptocurrency technologies","Arvind Narayanan","COS 597","","","Underlying the widespread public interest in Bitcoin is an intricate balance of technology  market forces  and social norms. Bitcoin serves as an excellent case study for learning many core CS concepts  cryptography  distributed systems  game theory  programming languages  and system security. Topics: first-generation cryptocurrencies  how Bitcoin achieves decentralization  mechanics of Bitcoin  Bitcoin as a currency  mining  anonymity  community and politics  Altcoins  Bitcoin as a platform  the future of Bitcoin. The first half of the course will be 'flipped': students will watch online lectures and class time will be used for discussion."
"1152","005383","Problems in Political Theory - From Kant to Hegel","Alan W. Patten","POL 511","","","Selected concepts and problems in political theory. A different topic is treated each year. Topics include justice  equality  liberty  obligation  participation  the nature of political theory  and approaches to interpretation of political theory. The theme for this term is From Kant to Hegel."
"1152","002499","Optical Electronics","Jason W. Fleischer","ELE 453","","","Fundmentals of light-matter interactions  waveguides and resonators  nonlinear optics and lasers."
"1152","006954","Topics in Economics - Energy Economics","Amy B. Craft","WWS 581","","","Examines the economics behind many issues related to energy use  including the investment and use of renewable and non-renewable resources  energy conservation  deregulation of energy markets  transportation  and energy independence. Current policy options will be discussed."
"1152","001224","Advanced Creative Writing (Fiction)","A.M. Homes|Susanna P. Moore|Joyce Carol Oates","CWR 303","LA","By application only. Students must have completed two 200-level CWR courses prior to applying. Please visit the Lewis Center Creative Writing website for application information. Application deadline is April 11  2014. Accepted students will be able to enroll in SCORE May 19th-23rd..","Advanced practice in the original composition of fiction for discussion in regularly scheduled workshop meetings. The curriculum allows the student to develop writing skills  provides an introduction to the possibilities of contemporary literature and offers perspective on the place of literature among the liberal arts. Criticism by practicing writers and talented peers encourages the student's growth as both creator and reader of literature."
"1152","002442","Combustion Theory","Chung K. Law","MAE 532","","","Theoretical aspects of combustion: the conservation equations of chemically-reacting flows; activation energy asymptotics; chemical and dynamic structures of laminar premixed and nonpremixed flames; aerodynamics and stabilization of flames; pattern formation and geometry of flame surfaces; ignition  extinction  and flammability phenomena; turbulent combustion; boundary layer combustion; droplet  particle  and spray combustion; and detonation and flame stabilization in supersonic flows."
"1152","002354","Heat Transfer","Daniel M. Nosenchuck","MAE 423 ENE 423","","MAE 221 and MAE 222  or permission of instructor..","This course will cover fundamentals of heat transfer and applications to practical problems in energy conversion and conservation  electronics  and biological systems. Emphasis will be on developing a physical and analytical understanding of conductive  convective  and radiative heat transfer  as well as design of heat exchangers and heat transfer systems involving phase change in process and energy applications. Students will develop an ability to apply governing principles and physical intuition to solve multi-mode heat transfer problems."
"1152","012525","The Anthropology of Crime and Punishment","Susan H. Ellison","ANT 234","SA","","How is crime politicized? How is the figure of The Criminal socially constructed? What concerns about disorder and illegality drive (trans)national governance agendas  and with what consequences? How do anthropologists treat crime and punishment? We will examine the politics and practices of criminalization  securitization  and efforts to impose the rule of law as they occur in local communities  along national borders  and in transnational efforts aimed at policing disorderly worlds. We will read ethnographic accounts ranging from the life-worlds of drug traffickers to international customs regimes seeking to regulate contraband economies."
"1152","000673","Seminar in Contemporary Art and Theory - The Aesthetics of Hunger","Rachel L. Price|Irene V. Small","ART 566 SPA 593 LAS 566","","","What kinds of aesthetics issue forth from need? Taking its name from Brazilian film director Glauber Rocha's 1965 manifesto  this course investigates how practitioners and critics have sought to understand political  social  economic  and material limitations as generative conditions for aesthetic form. Moving between Latin American debates of the 1960s and 70s and the contemporary moment  we examine how hunger  scarcity  and imperfection inform such concepts as violence  excess  subject formation  image circulation  geopolitics  neodevelopmentalism. Case studies include works of literature  art  cinema  philosophy  and historiography."
"1152","002931","Francophone Literature and Culture Outside of France - The Francophone Caribbean","F. Nick Nesbitt","FRE 528","","","An examination of the literature and theory of the francophone Caribbean from the Haitian Revolution to the present. The course focuses on how literary creation  history and theoretical reflection united in this unique and compelling culture."
"1152","008332","Property  Wealth  and Equality","Steven A. Kelts","WRI 123","","","See the Princeton Writing Program website."
"1152","001405","Environmental Economics","Smita B. Brunnermeier","WWS 306 ECO 329 ENV 319","SA","MAT 103 or equivalent and ECO 300 OR equivalent..","Course introduces use of economics in understanding both the sources of and the remedies to environmental and resource allocation problems. It emphasizes the reoccurrence of economic phenomena like public goods  externalities  market failure and imperfect information. Students learn about the design and evaluation of environmental policy instruments  the political economy of environmental policy  and the valuation of environmental and natural resource services. The concepts are illustrated in a variety of applications from domestic pollution of air  water and land to international issues such as global warming and sustainable development."
"1152","002489","Junior Independent Work","Paul R. Prucnal","ELE 397","","For each project  the requirements are set in consultation with the faculty advisor  and depend somewhat on the nature of the project. An oral presentation during Reading Period (as per departmental schedule) and a written final report is required. A copy of the report must be turned into the ELE Undergraduate Office Dean's Date. Details of requirements are available from the ELE Undergraduate Office. This course is open to qualified sophomores as well as juniors  provided they are adequately prepared..","Provides an opportunity for a student to concentrate on a \"state-of-the-art\" project in electrical engineering. Topics may be selected from suggestions by faculty members or proposed by the students. The final choice must be approved by the faculty advisor. There is no formal reading list; however  a literature search is a normal part of most projects."
"1152","011442","Intermediate Polish","Mark R. Pettus","PLS 105","","First year Polish (PLS101 and 102 or equivalent)..","The course reviews  strengthens  and upgrades the knowledge from the first year of language acquisition (PLS101 and 102  or equivalent). While enhancing their familiarity with Polish grammatical structures  students will also develop a broader vocabulary and more idiomatic patterns of expression. All linguistic skills (speaking  reading  writing  listening comprehension) will be practiced  but the main emphasis will be on communicative competence  as well as on a closer acquaintance with Poland's culture and everyday life."
"1152","012350","Topics in Automorphic Forms - Moduli Spaces of Vector Bundles","Sophie M. Morel","MAT 518","","Undergraduates must obtain permission of instructor..","The goal of this course is to explain the proof V. Lafforgue's recent results on the global Langlands correspondence for reductive groups over functions fields. I also review some background material such as the affine Grassmannian  the geometric Satake correspondence and moduli spaces of G-bundles  G-bundles with modifications and G-shtukas. I assume that the audience is familiar with the material in Hartshorne's \"Algebraic geometry\" and Milne's \"Etale cohomology\"."
"1152","004065","Bakhtin  the Russian Formalists  and Cultural Semiotics","Caryl Emerson","COM 410 SLA 410","LA","Knowledge of Russian not required..","The seminar surveys (in English) three influential schools of 20th-century Russian textual and cultural criticism: the Russian Formalists (1920s); Mikhail Bakhtin (1920s-70s)  and the cultural semiotics of Yury Lotman and the Tartu School (1960s-80s). Readings will include both primary and secondary texts; major essays will be read in conjunction with literature that illustrates and tests the critical approach."
"1152","012512","Economics of the Internet: The Digital Revolution","Swati Bhatt","ECO 326","","ECO 300 or ECO 310 or permission of instructor.","Using applied microeconomic theory and case studies  this course examines the impact of digital technology on markets. In a connected economy  information is freely  constantly and ubiquitously available to all participants. We ask how these features affect the way markets function. Topics include the economics of platform markets  social networks  technological innovation  intellectual property  internet security  privacy and other regulatory issues. Using case studies  we cover the impact of the internet on education  health  media and new industries  such as big-data; internet search  online advertising  mobile and cloud computing."
"1152","010649","Race  Religion  and the Harlem Renaissance","Wallace D. Best","AAS 510 REL 515","","","The Harlem Renaissance is most often depicted as \"the flowering of African American arts and literature.\" It can also be characterized as a period when diverse forms of African American religious expressions  ideologies  and institutions emerged. This course explores the literature of the Harlem Renaissance as a means to understand the pivotal intersection of race and religion during this time of black cultural production."
"1152","010209","Advanced Dance Performance and Choreographic Projects","Rebecca J. Lazier","DAN 420","LA","DAN 419/409 or equivalent experience. Interview with faculty for placement in composition section from April 7-18  2014. To arrange an interview  email Professor Lazier (rlazier@) or Professor Fehlandt (fehlandt@) and send a list of any previous composition experience at Princeton. NOTE: Placement for Technique/Repertory component of class will be held Wednesday  September 10th from 4:30-6:20 at Hagan Dance Studio at 185 Nassau..","Advanced students will learn and perform dances that represent diverse approaches to contemporary choreography. Technique and Repertory classes encourage rich  subtle and stylistically accurate renditions of choreography and cultivate intelligent and imaginative artistic interpretations. In Choreography classes  students will develop senior thesis projects; they can choose to focus on choreographic development or enhancing artistry as a performer. Classes will foster individual choreographic practices and mentor students as they transfer a dance from the studio to stage. The course is required for all Seniors pursuing a Certificate in Dance."
"1152","005208","Electronic Methods in Experimental Physics","Norman C. Jarosik","PHY 557","","","This course is targeted for graduate students from all departments and undergraduate physics majors. The seminar introduces students to the basic techniques of electronics and instrumentation used to conduct experiments in the physical sciences. The course begins by teaching a foundation in analog and digital circuits including programmable digital logic devices using an iPad interface for data acquisition. Students develop measurement techniques in a wide range of experimental areas."
"1152","000975","General Chemistry I","Garnet K. Chan|Robert P. L'Esperance","CHM 201","STL","","CHM 201 (Fall) and CHM 202 (Spring) comprise an overview of Chemistry. This sequence serves as the entry level course for concentrators in Chemistry  and for other sciences requiring General Chemistry as a prerequisite. This sequence is also well suited for premedical students. The goal of General Chemistry is to enhance our understanding of our surroundings through a study of matter at the molecular scale. Topics in CHM 201 include chemical reactions  equilibrium  energy and entropy  quantum theory  atomic structure  and chemical bonding."
"1152","008217","Structural Materials","Winston O. Soboyejo","MAE 564 MSE 564","","","Stress/strain behavior of materials; dislocation theory and strengthening mechanisms; yield strength; materials selection. Fundamentals of plasticity  Tresca and Von Mieses yield criteria. Case study on forging: upper and lower bounds. Basic elements of fracture. Fracture mechanics. Mechanisms of fracture. The fracture toughness. Case studies and design. Fatigue mechanisms and life prediction methodologies."
"1152","009251","Topics in Country and Regional Economics - Economics of the European Union and Economies in Europe","Silvia Weyerbrock","ECO 372 EPS 342","SA","ECO 100  ECO 101.","This course studies the economies of current and prospective European Union (EU) members and economic integration in Europe after 1945. It explores the political motivation for  and the economic implications of  the European Union's moves towards ever deeper integration and enlargement. Topics include policy-making in the EU  adoption of common trade  agricultural  regional and competition policy as well as European Monetary Union and its implications for fiscal and labor market policies. The course focuses on current economic challenges and uses economic analysis to study policy issues."
"1152","012799","Empire to Nation: 20th Century Japanese Fiction and Film","Atsuko Ueda","EAS 310 COM 312","LA","","This course will examine modern Japanese fiction and film that engaged with Japan's shift from \"empire\" to \"nation\" (roughly from 1930s to 1960s) with a specific focus on identity formation via race  ethnicity  and nationalism."
"1152","001480","Research Program in Development Studies","Tom S. Vogl","ECO 581","","","Drafts of papers  articles  and chapters of dissertations or books  prepared by graduate students  faculty members  or visiting scholars  are exposed to critical analysis by a series of seminars organized by field. The chief objectives are for the writers to receive the benefit of critical suggestions  for all participants to gain experience in criticism and uninhibited oral discussion  and for students and faculty members to become acquainted with the research work going on in the department. Third- and fourth-year graduate students are expected to attend; first-and second-year students and faculty members are invited to attend."
"1152","001456","Economics of Labor","Will S. Dobbie|Roland G. Fryer|Alexandre Mas","ECO 531","","","An examination of the economics of the labor market  especially the forces determining the supply of and demand for labor  the level of unemployment  labor mobility  the structure of relative wages  and the general level of wages."
"1152","012060","Mathematics for Economics/Life Sciences","Jennifer M. Johnson|Mark W. McConnell|Hanne Vlaeminck","MAT 175","QR","MAT103 or equivalent..","Survey of topics from multivariable calculus as preparation for future course work in economics or life sciences. Topics include basic techniques of integration  average value  vectors  partial derivatives  gradient  optimization of multivariable functions  and constrained optimization with Lagrange multipliers."
"1152","005130","Advanced Physics (Mechanics)","Robert H. Austin|Suzanne T. Staggs","PHY 105","STL","Good mathematical aptitude required - students should be taking MAT 104 or higher concurrently. Students do NOT preregister for PHY 105. Instead  sign up for PHY 103 and select C03 or C04. There is a weekly problem session on Wednesday evenings  7:30-10pm. Do not schedule your lab section for PHY 105 or any other courses during this time slot..","PHY 105 is a first-year course in mechanics  taught at a more sophisticated level than PHY 103. We get excellent physics majors from both 103 and 105. The approach of PHY 105 is that of an upper-division physics course  with more emphasis on derivation and the underlying formal structure of physics than one gets in 103  and with challenging problem sets due each week."
"1152","006515","Religion and Public Life","Robert J. Wuthnow","SOC 527","","","Presentation and critical discussion of empirical research in progress by participants. Focuses on the use of social science methods in the study of religion and on applications of recently published work about religion and society. Includes an emphasis on religion and public policy in the U. S. and in comparative perspective."
