termid,courseid,title,all_listings_string,area,prereqs,descrip
"1162","010276","Engineering Projects in Community Service (EPICS): Non-credit","EGR 350","","Juniors only (except for sophomores who have completed EGR 251)..","In the Engineering Projects in Community Service (EPICS) program  students earn academic credit for their participation in multidisciplinary design teams that solve technology-based problems for local not-for-profit organizations. The teams are: multidisciplinary--drawing students from across engineering and around the university; vertically-integrated--maintaining a mix of sophomores through seniors each semester; and long-term--each student may participate in a project for up to six semesters. The continuity  technical depth  and disciplinary breadth of these teams enable delivery of projects of significant benefit to the community."
"1162","003969","Horace","LAT 331","LA","LAT 203 or permission of instructor..","Close reading of selected Odes of Horace  considering his poetic program and techniques  together with the contemporary Augustan context."
"1162","006656","Beginner's Spanish I","SPA 101","","Students with previous knowledge in Spanish MUST take the Department's Spanish language placement test available online starting mid-July before taking this course. This also applies to Graduate students interested in taking the course. International Baccalaureate students must also take the placement test. Students with an AP5/SP SAT ST 760 score are not required to take this test..","SPA 101 presents the basic structures and vocabulary of the Spanish language. The four skills (listening  speaking  reading and writing) are practiced and developed by means of classroom activities and materials in which language appears in a cultural context. Classes are conducted in Spanish. No credit is given for SPA 101 unless followed by SPA 102."
"1162","013347","Independent Instruction in Voice or Instrument (Non-credit)","MUS 298","","Open to Music concentrators and Musical Performance certificate students only. Students must complete MUS 298 (Fall) and MUS 299 (Spring) in the same academic year to receive one course unit of credit. Please note that MUS 299 will be graded with a letter grade and will conclude with a jury exam before the performance faculty  which will require preparation throughout the academic year..","Independent instruction in voice or instrument is an intensive immersion in all aspects of recreating music for performance. Lessons are geared towards the development and embedding of solid technique  and the application of this technique to proper style and musical expression. Issues explored include but are not limited to interpretation  stylistic appropriateness  historical context  theoretical/syntactical underpinnings  audition and performance strategies  and career planning."
"1162","002536","Theory of Detection and Estimation","ELE 530","","","An introduction to the fundamental theoretical principles of signal processing related to detection and estimation. The level of this course is suitable for research students in communications  control  signal processing  and related areas."
"1162","001444","Econometric Modeling","ECO 515","","","The construction  estimation  and testing of econometric models as a process  from theory to model formulation to estimation and testing and back to theory. Bridging the gap between theory and applied work. A series of topics in macroeconomics time series and microeconomic cross-sectional analysis: consumption at the household and aggregate level  commodity prices  nonparametric and parametrics estimation."
"1162","005383","Problems in Political Theory - Freedom and Democracy","POL 511","","","Selected concepts and problems in political theory. A different topic is treated each year. Topics include justice  equality  liberty  obligation  participation  the nature of political theory  and approaches to interpretation of political theory."
"1162","002499","Optical Electronics","ELE 453","","","Fundmentals of light-matter interactions  waveguides and resonators  nonlinear optics and lasers."
"1162","006954","Topics in Economics - Energy Economics","WWS 581","","","Examines the economics behind many issues related to energy use  including the investment and use of renewable and non-renewable resources  energy conservation  deregulation of energy markets  transportation  and energy independence. Current policy options will be discussed."
"1162","001224","Advanced Creative Writing (Fiction)","CWR 303","LA","By application only. Students must have completed two 200-level CWR courses prior to applying. Please visit the Lewis Center Creative Writing website for application information. Application deadline is April 17  2015. Accepted students will be able to enroll in Tiger Hub May 18th to 22nd..","Advanced practice in the original composition of fiction for discussion in regularly scheduled workshop meetings. The curriculum allows the student to develop writing skills  provides an introduction to the possibilities of contemporary literature and offers perspective on the place of literature among the liberal arts. Criticism by practicing writers and talented peers encourages the student's growth as both creator and reader of literature."
"1162","009317","Topics in Brazilian Cultural and Social History - Music and Literature","POR 304 LAS 311","LA","POR 208 or instructor's permission.","What happens when music and literature meet? What does music have to say about the society that produced it? How do silent letters provoke sounds and movements? How to understand sounds on a political and historical plane? Does the dancing body follow a grammar? Can a popular musician be the interpreter of a major writer? In a journey through literature and music with a special focus on Brazil  the seminar will explore the point at which the aural  the corporeal and the linguistic are entangled in the act of listening."
"1162","002354","Heat Transfer","MAE 423 ENE 423","","MAE 221 and MAE 222  or permission of instructor..","This course will cover fundamentals of heat transfer and applications to practical problems in energy conversion and conservation  electronics  and biological systems. Emphasis will be on developing a physical and analytical understanding of conductive  convective  and radiative heat transfer  as well as design of heat exchangers and heat transfer systems involving phase change in process and energy applications. Students will develop an ability to apply governing principles and physical intuition to solve multi-mode heat transfer problems."
