termid,courseid,title,prof_string,all_listings_string,area,prereqs,descrip
"1164","010276","Engineering Projects in Community Service (EPICS): Non-credit","Jay B. Benziger Michael G. Littman","EGR 350","","Juniors only (except for sophomores who have completed EGR 251)..","In the Engineering Projects in Community Service (EPICS) program  students earn academic credit for their participation in multidisciplinary design teams that solve technology-based problems for local not-for-profit organizations. The teams are: multidisciplinary--drawing students from across engineering and around the university; vertically-integrated--maintaining a mix of sophomores through seniors each semester; and long-term--each student may participate in a project for up to six semesters. The continuity  technical depth  and disciplinary breadth of these teams enable delivery of projects of significant benefit to the community."
"1164","009655","Contemporary Theories of Gender and Sexuality","Gayle Salamon","GSS 400","SA","GSS 201 or equivalent..","One is not born  but becomes  woman. So writes Simone deBeauvoir in her landmark work of feminism  The Second Sex. But how do we become women  anyway? In this course we will read The Second Sex in its entirety  exploring Beauvoir's ideas  along with our current ones  about childhood  coming of age  the family  sexuality  relationships  work  the social order  and the philosophical imaginary. We will read Beauvoir alongside the work of her primary interlocutors as well as contemporary theory  memoir  and fiction considering the question of what it means to become a woman--or not--in contemporary culture."
"1164","002652","Literature of the American Renaissance  1820-1860","Lee C. Mitchell","ENG 350","LA","","Close study of nine authors--the so-called literary \"renaissance\" of the new republic--who defined a native brand of literature that would influence all subsequent American writers. Our focus will be on narrative and poetic forms that signaled independence from older ideals  offering an exhilarating yet deeply unsettling transition in literary history."
"1164","005391","Political Philosophy - Problems in Contemporary Political Theory","Stephen J. Macedo","POL 518 PHI 529","","","This seminar covers some basic concepts deployed in political thought and practice  looking at the various ways in which they may be institutionally implemented. The concepts discussed include those of the state  the constitution and the people as well as some more regular social concepts like that of agency  corporation  freedom and power."
"1164","001472","Research Methods in Demography","Germán Rodriguez","POP 502 ECO 572 SOC 532","","POP 501/ECO 571/SOC 531 or instructor's permission..","Source materials used in the study of population; standard procedures for the measurement of fertility  mortality  natural increase  migration  and nuptiality; and uses of model life tables and stable population analysis and other techniques of estimation when faced with inaccurate or incomplete data are studied."
"1164","002441","Combustion","Chung K. Law","MAE 531 ENE 531","","","Chemical thermodynamics and kinetics  oxidation of hydrogen  hydrocarbons and alternate fuels  pollutant chemistry and control  transport phenomena  laminar premixed and nonpremixed flames  turbulent flames  ignition  extinction  and flammability phenomena  flame stabilization and blowoff  detonation and blast waves  droplet  spray and coal particle combustion  principles of engine operation."
"1164","005125","Introductory Physics II","Merideth Frey Norman C. Jarosik Catherine K. Visnjic","PHY 102","STL","PHY 101.","This course presents an introduction to the fundamental laws of nature  especially optics  electricity/magnetism  nuclear and atomic theory. These are treated quantitatively with an emphasis on problem solving. The laboratory is intended to give students an opportunity to observe physical phenomena and to gain \"hands-on\" experience with apparatus and instruments."
"1164","013497","Utopia at 500: The Promise of Fiction","Bradin T. Cormack","FRS 102","LA","","See website"
"1164","009577","Topics in African American Literature - African American Literature and the Law","Christopher M. Brown","AAS 392 ENG 392","LA","","A historical overview of black literary expression from the 19th century to present day. Will emphasize a critical and analytical approach to considering the social  cultural  and political dimensions of African American literature."
"1164","006276","Advanced Russian Reading and Conversation II","Ksana Blank","RUS 208","","RUS 207 or permission of instructor..","A continuation of 207. Discussion of some samples of 20th-century poetry and the poets' biographies; review of selected grammar topics; work with two movies."
"1164","013557","Race Relations in Twentieth Century Cuba","Adrian Lopez-Denis","LAS 337","HA","This class will be offered in Havana  as part of the Princeton in Cuba Program. For more information  see: http://www.princeton.edu/oip/sap/programs. Fluency in Spanish..","The Cuban revolution has been one of the most radical sociopolitical experiments of the past century. Comparing historiographical accounts with the recollections of individuals involved in the actual events  this course investigates the impact of the revolutionary process on Cuban racial politics. At the center of our enquire is an attempt to understand how Cubans see themselves in terms of race  and the role of those perceptions on the production of discourses and silences regarding racial inequality and discrimination."
"1164","005438","Formal Political Analysis I","Kristopher W. Ramsay","POL 575","","","A rigorous introduction to choice theory  social choice theory  and non-cooperative game theory. The course serves as the first formal theory graduate course and draws on mathematics at the level of POL 502."
"1164","012303","Intensive Korean II","Eunjung Ji","KOR 108","","KOR 103 and KOR 108 are designed as a year-long sequence. Credit for KOR 103 will not be given unless it is followed by KOR 108. Students who have completed both courses will be considered to have fulfilled the language requirement equivalent to completing two-year study of a foreign language..","A continuation of Korean 103. This course covers the 2nd Year Korean material focusing on complex grammatical structures  reading  and writing. Journals are kept for writing practice. The students who have successfully completed KOR 103 and KOR 108 will be placed in the 3rd or 4th year Korean if they wish to continue."
"1164","008332","Property  Wealth  and Equality","Steven A. Kelts","WRI 123","","","See the Princeton Writing Program website."
